team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2023,1,Hawthorn,5,W,5,4.0,3.0,2.0,6,1.0,,,1.0,,2.0,,3.0,,2.0,,2.0,4.0,1.0,,1.0,,,62,2023-03-29
Greater Western Sydney,2023,2,Brisbane Lions,6,L,5,3.0,2.0,2.0,5,1.0,,,3.0,,1.0,,2.0,1.0,1.0,,3.0,4.0,,1.0,3.0,,,63,2023-04-05
Greater Western Sydney,2023,3↓,Sydney,7,W,5,4.0,2.0,,4,1.0,,,2.0,,1.0,,3.0,,,,1.0,3.0,,2.0,,,,43,2023-04-12
Greater Western Sydney,2023,4↓,Western Bulldogs,8,L,5,3.0,1.0,,3,,,,1.0,,,,,,,,3.0,,1.0,,,,,50,2023-04-19
Greater Western Sydney,2023,5,Collingwood,9,L,5,2.0,2.0,5.0,7,,1.0,,1.0,,,,2.0,,1.0,,6.0,1.0,1.0,1.0,,,,77,2023-04-26
Greater Western Sydney,2023,6,St Kilda,10,L,5,4.0,3.0,1.0,5,1.0,,,2.0,,1.0,,4.0,,,,1.0,4.0,1.0,2.0,,,,77,2023-05-03
Greater Western Sydney,2023,7,Geelong,11,W,5,4.0,2.0,,4,,2.0,,1.0,,1.0,,1.0,,1.0,,3.0,2.0,,2.0,1.0,,,62,2023-05-10
Greater Western Sydney,2023,8,Richmond,12,L,5,2.0,2.0,,2,1.0,,,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,,57,2023-05-17
Greater Western Sydney,2023,9,Fremantle,14,W,5,,,3.0,3,,,,1.0,,,,2.0,,1.0,,3.0,1.0,,,2.0,,1.0,72,2023-05-31
Greater Western Sydney,2023,10↓,Adelaide,18,W,5,4.0,2.0,2.0,6,1.0,,,2.0,,1.0,,1.0,,,,3.0,2.0,1.0,,,,,44,2023-06-28
Greater Western Sydney,2023,11,Gold Coast,19,W,5,4.0,,2.0,6,,1.0,,1.0,,2.0,,3.0,1.0,2.0,,4.0,2.0,,,,,,75,2023-07-05
Greater Western Sydney,2023,12↓,Western Bulldogs,20,W,5,1.0,,2.0,3,,,,2.0,,,,1.0,,,,2.0,1.0,,,,,,49,2023-07-12
Greater Western Sydney,2024,13,Collingwood,1,W,5,5.0,3.0,5.0,10,2.0,1.0,,,,1.0,1.0,,,,,4.0,6.0,1.0,2.0,1.0,,,77,2024-03-01
Greater Western Sydney,2024,14,North Melbourne,2,W,5,5.0,3.0,3.0,8,2.0,1.0,1.0,3.0,2.0,,,,,,,5.0,3.0,1.0,3.0,1.0,,,73,2024-03-08
Greater Western Sydney,2024,15,West Coast,3,W,5,7.0,3.0,2.0,9,3.0,,5.0,4.0,,2.0,1.0,2.0,1.0,2.0,,5.0,5.0,1.0,2.0,,,,74,2024-03-15
