team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2018,1,Richmond,4,L,33,2.0,2.0,5,7,,1.0,,1.0,1.0,1.0,,2.0,,1.0,,1.0,6,,1.0,,,,64,2018-03-22
Brisbane Lions,2018,2,Gold Coast,5,L,33,4.0,3.0,6,10,1.0,,,3.0,1.0,1.0,1.0,4.0,1.0,2.0,,5.0,5,,1.0,1.0,,,74,2018-03-29
Brisbane Lions,2018,3,Greater Western Sydney,6,L,33,9.0,4.0,7,16,,2.0,,2.0,,3.0,,4.0,,1.0,,4.0,14,,1.0,,,,76,2018-04-05
Brisbane Lions,2018,4,Collingwood,7,L,33,10.0,3.0,7,17,1.0,,,4.0,,2.0,,5.0,1.0,3.0,,2.0,15,,,,,,76,2018-04-12
Brisbane Lions,2018,5,Western Bulldogs,8,L,33,8.0,4.0,9,17,,,,4.0,2.0,1.0,2.0,3.0,,1.0,,4.0,12,1.0,,,,,76,2018-04-19
Brisbane Lions,2018,6,Hawthorn,9,W,33,4.0,3.0,7,11,,,,3.0,1.0,2.0,2.0,1.0,1.0,,,6.0,6,,,1.0,,,77,2018-04-26
Brisbane Lions,2018,7,Sydney,10,L,33,4.0,,4,8,,,,3.0,,3.0,,2.0,,,,4.0,3,,,,,,86,2018-05-03
Brisbane Lions,2018,8,North Melbourne,11,L,33,6.0,5.0,8,14,1.0,,,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,5.0,8,,1.0,4.0,,,90,2018-05-10
Brisbane Lions,2018,9,Essendon,12,L,33,6.0,3.0,10,16,,,,1.0,1.0,2.0,4.0,5.0,,3.0,,11.0,8,,,2.0,,,81,2018-05-17
Brisbane Lions,2018,10,Greater Western Sydney,14,L,33,6.0,2.0,6,12,1.0,,,1.0,,2.0,1.0,,1.0,,,2.0,10,,,,,1.0,84,2018-05-31
Brisbane Lions,2018,11,Gold Coast,22,W,33,7.0,3.0,7,14,,,,1.0,,4.0,1.0,3.0,,3.0,,3.0,11,,,2.0,,2.0,84,2018-07-26
Brisbane Lions,2018,12,West Coast,23,L,33,10.0,4.0,10,20,2.0,1.0,,2.0,,3.0,,2.0,3.0,1.0,,6.0,13,,,,,,84,2018-08-02
Brisbane Lions,2019,13,West Coast,1,W,33,10.0,4.0,5,15,,1.0,,1.0,5.0,1.0,,1.0,1.0,,,3.0,13,1.0,,,1.0,,75,2019-03-01
Brisbane Lions,2019,14,North Melbourne,2,W,33,13.0,6.0,6,19,,,,2.0,4.0,3.0,2.0,5.0,,,,5.0,15,,,1.0,,,71,2019-03-08
Brisbane Lions,2019,15,Port Adelaide,3,W,33,10.0,2.0,1,11,,,,,3.0,1.0,1.0,6.0,1.0,3.0,,5.0,8,,,3.0,,,68,2019-03-15
Brisbane Lions,2019,16,Western Bulldogs,8,L,33,,,1,1,,,,,,,,2.0,,1.0,,,1,,,,,,6,2019-04-19
Brisbane Lions,2019,17,Melbourne,15,W,33,5.0,2.0,10,15,1.0,,,,2.0,3.0,,4.0,1.0,1.0,,7.0,8,,,,,,83,2019-06-07
Brisbane Lions,2019,18,Greater Western Sydney,16,W,33,5.0,4.0,5,10,1.0,,,2.0,,3.0,,2.0,1.0,1.0,,4.0,6,,1.0,,,,70,2019-06-14
Brisbane Lions,2019,19,Port Adelaide,17,W,33,7.0,3.0,3,10,1.0,1.0,,3.0,3.0,1.0,1.0,3.0,,1.0,,3.0,5,,1.0,2.0,,,77,2019-06-21
Brisbane Lions,2019,20,North Melbourne,18,W,33,10.0,5.0,2,12,,1.0,,3.0,2.0,3.0,1.0,4.0,1.0,2.0,,2.0,9,,,1.0,,,71,2019-06-28
Brisbane Lions,2019,21,Hawthorn,19,W,33,6.0,4.0,1,7,,,,1.0,2.0,1.0,,1.0,,,,1.0,5,,,2.0,,1.0,76,2019-07-05
Brisbane Lions,2019,22,Western Bulldogs,20,W,33,4.0,,6,10,,,,2.0,,1.0,2.0,1.0,1.0,,,7.0,3,,,1.0,,,84,2019-07-12
Brisbane Lions,2019,23,Gold Coast,21,W,33,10.0,3.0,8,18,2.0,,,3.0,,5.0,3.0,2.0,1.0,2.0,,7.0,12,,,1.0,,,77,2019-07-19
Brisbane Lions,2019,24,Geelong,22,W,33,9.0,3.0,4,13,,2.0,,6.0,,3.0,,2.0,3.0,2.0,,6.0,8,,,1.0,,,90,2019-07-26
Brisbane Lions,2019,25,Richmond,23,L,33,7.0,,8,15,,,,3.0,,3.0,1.0,3.0,,,,7.0,9,,,3.0,,1.0,66,2019-08-02
Brisbane Lions,2019,26,Richmond,QF,L,33,7.0,1.0,6,13,,,,1.0,1.0,5.0,1.0,1.0,,1.0,,4.0,10,1.0,,3.0,,,67,2019-03-01
Brisbane Lions,2019,27,Greater Western Sydney,SF,L,33,3.0,1.0,8,11,,,,2.0,1.0,2.0,1.0,,,,,9.0,4,,,4.0,,1.0,75,2019-03-01
Brisbane Lions,2020,28,Hawthorn,1,L,33,7.0,3.0,6,13,,,,2.0,1.0,6.0,1.0,3.0,1.0,,,7.0,6,,,2.0,,,86,2020-03-01
Brisbane Lions,2020,29,Fremantle,2,W,33,7.0,3.0,5,12,,,,4.0,3.0,2.0,1.0,,,,,4.0,7,,,2.0,,,71,2020-03-08
Brisbane Lions,2020,30,West Coast,3,W,33,5.0,2.0,5,10,1.0,1.0,,2.0,,2.0,1.0,2.0,,2.0,,4.0,6,,1.0,,,,77,2020-03-15
Brisbane Lions,2020,31,Adelaide,4,W,33,10.0,4.0,4,14,1.0,1.0,,1.0,,5.0,1.0,,,,,6.0,8,1.0,,1.0,,1.0,78,2020-03-22
Brisbane Lions,2020,32,Port Adelaide,5,W,33,6.0,3.0,8,14,1.0,,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,4.0,10,,,,,1.0,84,2020-03-29
Brisbane Lions,2020,33,Geelong,6,L,33,5.0,2.0,4,9,,,,3.0,,2.0,,3.0,,2.0,,2.0,7,,,1.0,,,83,2020-04-05
Brisbane Lions,2020,34,Greater Western Sydney,7,W,33,11.0,10.0,7,18,2.0,,,3.0,2.0,3.0,,4.0,1.0,2.0,1.0,4.0,14,,1.0,,,,73,2020-04-12
Brisbane Lions,2020,35,Melbourne,8,W,33,16.0,8.0,5,21,1.0,1.0,,1.0,7.0,4.0,1.0,4.0,1.0,3.0,,5.0,15,,,4.0,,,84,2020-04-19
Brisbane Lions,2020,36,Essendon,9,W,33,11.0,7.0,5,16,,1.0,,5.0,1.0,4.0,,2.0,,1.0,,5.0,13,,1.0,2.0,,1.0,80,2020-04-26
Brisbane Lions,2020,37,Richmond,10,L,33,12.0,5.0,1,13,,,,2.0,2.0,2.0,,,2.0,,,3.0,10,,,1.0,,,76,2020-05-03
Brisbane Lions,2020,38,Western Bulldogs,11,W,33,14.0,5.0,7,21,2.0,2.0,,3.0,1.0,6.0,,1.0,,,,3.0,17,,2.0,,,1.0,77,2020-05-10
Brisbane Lions,2020,39,North Melbourne,12,W,33,8.0,6.0,4,12,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,,2.0,,7.0,6,,,1.0,,,79,2020-05-17
Brisbane Lions,2020,40,St Kilda,13,W,33,12.0,2.0,5,17,1.0,1.0,,3.0,,5.0,,,2.0,,,7.0,10,,,1.0,,,80,2020-05-24
Brisbane Lions,2020,41,Collingwood,15,W,33,3.0,4.0,5,8,,,,4.0,,1.0,,3.0,,2.0,,4.0,6,1.0,,,,,79,2020-06-07
Brisbane Lions,2020,42,Gold Coast,16,W,33,13.0,6.0,6,19,,,,3.0,1.0,4.0,,3.0,,2.0,,4.0,15,,,,,,81,2020-06-14
Brisbane Lions,2020,43,Sydney,17,W,33,7.0,2.0,1,8,2.0,,,3.0,,1.0,,2.0,,,,4.0,4,,1.0,,,,80,2020-06-21
Brisbane Lions,2020,44,Carlton,18,W,33,6.0,1.0,6,12,,,,1.0,1.0,1.0,3.0,5.0,1.0,1.0,,11.0,3,,,,,1.0,70,2020-06-28
Brisbane Lions,2020,45,Richmond,QF,W,33,8.0,1.0,2,10,1.0,,,1.0,1.0,3.0,3.0,1.0,1.0,,,6.0,5,,,1.0,,,62,2020-03-01
Brisbane Lions,2020,46,Geelong,PF,L,33,5.0,2.0,3,8,,1.0,,3.0,1.0,2.0,,2.0,1.0,,,2.0,6,,,1.0,,,83,2020-03-01
Brisbane Lions,2021,47,Sydney,1,L,33,13.0,,3,16,3.0,,,2.0,,10.0,2.0,8.0,2.0,5.0,,11.0,8,,,,,,76,2021-03-01
Brisbane Lions,2021,48,Geelong,2,L,33,9.0,2.0,7,16,,,,7.0,1.0,5.0,1.0,3.0,1.0,2.0,,9.0,8,,,,,1.0,77,2021-03-08
Brisbane Lions,2021,49,Collingwood,3,W,33,7.0,4.0,11,18,1.0,,,4.0,,3.0,3.0,4.0,,2.0,,9.0,11,,1.0,1.0,,,86,2021-03-15
Brisbane Lions,2021,50,Western Bulldogs,4,L,33,5.0,3.0,8,13,1.0,,,1.0,,,2.0,6.0,1.0,3.0,,6.0,8,1.0,,1.0,1.0,,78,2021-03-22
Brisbane Lions,2021,51,Essendon,5,W,33,6.0,1.0,4,10,,1.0,,4.0,,3.0,1.0,4.0,,2.0,,7.0,5,,,1.0,,1.0,81,2021-03-29
Brisbane Lions,2021,52,Carlton,6,W,33,12.0,3.0,6,18,,1.0,,5.0,1.0,4.0,4.0,2.0,1.0,1.0,,11.0,6,1.0,,3.0,,,81,2021-04-05
Brisbane Lions,2021,53,Port Adelaide,7,W,33,12.0,4.0,9,21,1.0,1.0,,4.0,2.0,2.0,3.0,6.0,1.0,3.0,,7.0,11,,1.0,1.0,,,70,2021-04-12
Brisbane Lions,2021,54,Fremantle,8,W,33,14.0,7.0,12,26,,1.0,,1.0,2.0,3.0,4.0,4.0,,1.0,,7.0,19,,2.0,1.0,,1.0,78,2021-04-19
Brisbane Lions,2021,55,Gold Coast,9,W,33,11.0,4.0,8,19,2.0,1.0,,,,4.0,4.0,2.0,,,,6.0,13,,,6.0,,,77,2021-04-26
Brisbane Lions,2021,56,Richmond,10,W,33,10.0,2.0,5,15,4.0,,,1.0,,3.0,1.0,2.0,1.0,1.0,,4.0,10,,1.0,,,3.0,77,2021-05-03
Brisbane Lions,2021,57,Greater Western Sydney,11,W,33,11.0,5.0,7,18,1.0,,,2.0,,4.0,3.0,3.0,1.0,3.0,,5.0,13,,,1.0,,1.0,77,2021-05-10
Brisbane Lions,2021,58,Melbourne,12,L,33,16.0,5.0,3,19,4.0,,,1.0,2.0,6.0,1.0,2.0,2.0,,1.0,5.0,13,,,,,,83,2021-05-17
Brisbane Lions,2021,59,North Melbourne,14,W,33,15.0,4.0,14,29,1.0,,,3.0,3.0,5.0,4.0,3.0,2.0,2.0,,13.0,15,,,3.0,,,85,2021-05-31
Brisbane Lions,2021,60,Geelong,15,W,33,11.0,4.0,4,15,,1.0,,5.0,1.0,4.0,3.0,2.0,1.0,1.0,,8.0,6,,1.0,3.0,,,86,2021-06-07
Brisbane Lions,2021,61,Adelaide,16,W,33,16.0,2.0,10,26,3.0,1.0,,2.0,1.0,7.0,9.0,6.0,2.0,3.0,3.0,15.0,14,,1.0,2.0,,1.0,86,2021-06-14
Brisbane Lions,2021,62,St Kilda,17,L,33,7.0,1.0,5,12,1.0,,,3.0,,2.0,3.0,2.0,,2.0,,9.0,4,,,1.0,,,87,2021-06-21
Brisbane Lions,2021,63,Richmond,18,L,33,13.0,4.0,3,16,2.0,2.0,,,1.0,5.0,2.0,7.0,,3.0,,5.0,11,,1.0,,,1.0,80,2021-06-28
Brisbane Lions,2021,64,Gold Coast,19,W,33,14.0,4.0,7,21,,2.0,,1.0,1.0,6.0,2.0,5.0,,2.0,,3.0,18,,1.0,1.0,,,79,2021-07-05
Brisbane Lions,2021,65,Hawthorn,20,L,33,11.0,2.0,5,16,1.0,,,2.0,2.0,6.0,5.0,6.0,1.0,2.0,,8.0,10,,,3.0,,2.0,82,2021-07-12
Brisbane Lions,2021,66,Fremantle,21,W,33,14.0,3.0,5,19,2.0,2.0,,5.0,1.0,4.0,1.0,6.0,1.0,2.0,,6.0,12,1.0,1.0,,,1.0,81,2021-07-19
Brisbane Lions,2021,67,Collingwood,22,W,33,13.0,6.0,14,27,1.0,1.0,,3.0,2.0,2.0,1.0,3.0,,1.0,,8.0,18,,1.0,4.0,,1.0,83,2021-07-26
Brisbane Lions,2021,68,West Coast,23,W,33,11.0,2.0,8,19,,1.0,,5.0,3.0,4.0,4.0,3.0,,2.0,,8.0,11,,,1.0,,3.0,85,2021-08-02
Brisbane Lions,2021,69,Melbourne,QF,L,33,10.0,1.0,4,14,1.0,1.0,,5.0,,6.0,1.0,4.0,3.0,1.0,,7.0,6,,,2.0,,,86,2021-03-01
Brisbane Lions,2021,70,Western Bulldogs,SF,L,33,12.0,4.0,5,17,2.0,2.0,,2.0,2.0,5.0,2.0,5.0,,1.0,,6.0,11,,2.0,2.0,,1.0,92,2021-03-01
Brisbane Lions,2022,71,Port Adelaide,1,W,33,15.0,7.0,8,23,1.0,1.0,,3.0,1.0,7.0,4.0,3.0,,1.0,,9.0,14,,1.0,1.0,,,82,2022-03-01
Brisbane Lions,2022,72,Essendon,2,W,33,10.0,4.0,5,15,2.0,1.0,,1.0,2.0,3.0,1.0,6.0,,3.0,,5.0,11,,,1.0,,,76,2022-03-08
Brisbane Lions,2022,73,North Melbourne,3,W,33,13.0,2.0,4,17,4.0,1.0,,4.0,3.0,4.0,3.0,4.0,1.0,1.0,,8.0,10,,2.0,3.0,,1.0,84,2022-03-15
Brisbane Lions,2022,74,Geelong,4,L,33,10.0,2.0,5,15,,,,1.0,2.0,3.0,4.0,4.0,,1.0,,8.0,7,,,1.0,,,82,2022-03-22
Brisbane Lions,2022,75,Collingwood,5,W,33,13.0,7.0,6,19,3.0,1.0,,2.0,1.0,2.0,4.0,3.0,3.0,2.0,,7.0,12,,2.0,2.0,,,80,2022-03-29
Brisbane Lions,2022,76,Gold Coast,6,W,33,11.0,3.0,6,17,6.0,,,1.0,1.0,1.0,2.0,5.0,,3.0,2.0,11.0,6,,1.0,2.0,,,84,2022-04-05
Brisbane Lions,2022,77,Sydney,7,W,33,9.0,1.0,3,12,1.0,1.0,,3.0,,2.0,,4.0,,1.0,,3.0,9,,,1.0,,,79,2022-04-12
Brisbane Lions,2022,78,West Coast,8,W,33,14.0,4.0,7,21,1.0,1.0,,6.0,2.0,8.0,3.0,1.0,1.0,1.0,,5.0,15,,,,,,84,2022-04-19
Brisbane Lions,2022,79,Adelaide,9,W,33,14.0,4.0,5,19,3.0,,,2.0,3.0,4.0,1.0,5.0,,1.0,,7.0,10,1.0,1.0,1.0,1.0,,76,2022-04-26
Brisbane Lions,2022,80,Hawthorn,10,L,33,10.0,1.0,3,13,,3.0,,1.0,,7.0,1.0,6.0,1.0,4.0,,6.0,8,,1.0,2.0,,1.0,85,2022-05-03
Brisbane Lions,2022,81,Greater Western Sydney,11,W,33,12.0,3.0,8,20,1.0,2.0,,1.0,2.0,5.0,2.0,4.0,1.0,2.0,,10.0,11,,1.0,1.0,,,79,2022-05-10
Brisbane Lions,2022,82,Fremantle,12,L,33,12.0,2.0,10,22,4.0,,,1.0,2.0,4.0,1.0,3.0,,1.0,1.0,11.0,11,,,2.0,,1.0,85,2022-05-17
Brisbane Lions,2022,83,St Kilda,13,W,33,10.0,4.0,2,12,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,3.0,8,,,,,,73,2022-05-24
Brisbane Lions,2022,84,Western Bulldogs,16,W,33,7.0,3.0,3,10,1.0,1.0,,1.0,,3.0,2.0,3.0,,3.0,,6.0,6,1.0,,,,,83,2022-06-14
Brisbane Lions,2022,85,Essendon,17,L,33,11.0,6.0,6,17,,1.0,,2.0,,6.0,3.0,4.0,,1.0,,3.0,14,,,,,1.0,80,2022-06-21
Brisbane Lions,2022,86,Greater Western Sydney,18,W,33,8.0,5.0,9,17,,1.0,,2.0,,1.0,2.0,6.0,,5.0,,6.0,12,,1.0,,,,85,2022-06-28
Brisbane Lions,2022,87,Gold Coast,19,W,33,17.0,6.0,7,24,1.0,,,2.0,3.0,3.0,6.0,6.0,2.0,1.0,,10.0,13,,1.0,,,,80,2022-07-05
Brisbane Lions,2022,88↓,Richmond,20,L,33,6.0,4.0,3,9,,,,,,4.0,,,,,,2.0,7,,,,,,30,2022-07-12
Brisbane Lions,2022,89,Carlton,21,W,33,15.0,6.0,4,19,4.0,1.0,,3.0,,7.0,,3.0,,,2.0,3.0,16,,2.0,2.0,,2.0,77,2022-07-19
Brisbane Lions,2022,90,St Kilda,22,W,33,8.0,3.0,4,12,,,,2.0,,6.0,1.0,5.0,,1.0,,1.0,10,,1.0,,,,71,2022-07-26
Brisbane Lions,2022,91,Melbourne,23,L,33,9.0,4.0,11,20,,,,3.0,,4.0,3.0,1.0,1.0,,,10.0,12,,,3.0,,,83,2022-08-02
Brisbane Lions,2022,92,Richmond,EF,W,33,14.0,3.0,10,24,1.0,1.0,,3.0,2.0,5.0,2.0,1.0,2.0,,,11.0,9,,1.0,1.0,,2.0,86,2022-03-01
Brisbane Lions,2022,93,Melbourne,SF,W,33,10.0,5.0,6,16,2.0,,,3.0,2.0,,1.0,2.0,,,,9.0,6,1.0,1.0,2.0,,,82,2022-03-01
Brisbane Lions,2022,94,Geelong,PF,L,33,13.0,7.0,6,19,1.0,2.0,,5.0,2.0,5.0,,6.0,1.0,1.0,,2.0,18,,1.0,,,,88,2022-03-01
Brisbane Lions,2023,95,Port Adelaide,1,L,33,11.0,4.0,5,16,2.0,,,2.0,1.0,2.0,2.0,1.0,3.0,,,6.0,9,,,2.0,,,82,2023-03-01
Brisbane Lions,2023,96,Melbourne,2,W,33,4.0,,6,10,2.0,,,1.0,,2.0,2.0,5.0,1.0,1.0,,9.0,4,,,1.0,,,87,2023-03-08
Brisbane Lions,2023,97,Western Bulldogs,3,L,33,9.0,4.0,4,13,,,,4.0,2.0,1.0,2.0,6.0,,3.0,,4.0,10,,1.0,4.0,,,83,2023-03-15
Brisbane Lions,2023,98,Collingwood,4,W,33,12.0,2.0,6,18,,1.0,,2.0,2.0,5.0,1.0,7.0,1.0,4.0,,6.0,14,,,2.0,,3.0,80,2023-03-22
Brisbane Lions,2023,99,North Melbourne,5,W,33,13.0,6.0,8,21,,2.0,,1.0,1.0,5.0,,5.0,,,,9.0,13,,1.0,1.0,,1.0,81,2023-03-29
Brisbane Lions,2023,100,Greater Western Sydney,6,W,33,10.0,3.0,7,17,1.0,2.0,,3.0,,3.0,1.0,4.0,1.0,,,8.0,8,,1.0,1.0,,1.0,78,2023-04-05
Brisbane Lions,2023,101,Fremantle,7,W,33,17.0,6.0,2,19,2.0,,,5.0,,3.0,1.0,2.0,,1.0,,4.0,15,,2.0,,,3.0,84,2023-04-12
Brisbane Lions,2023,102,Carlton,8,W,33,8.0,3.0,4,12,4.0,,,4.0,1.0,1.0,3.0,3.0,,1.0,2.0,5.0,9,,2.0,1.0,,,80,2023-04-19
Brisbane Lions,2023,103,Essendon,9,W,33,8.0,4.0,5,13,2.0,1.0,,6.0,2.0,5.0,2.0,4.0,1.0,,,4.0,9,,2.0,1.0,,,80,2023-04-26
Brisbane Lions,2023,104,Gold Coast,10,W,33,8.0,1.0,4,12,1.0,,,3.0,1.0,4.0,,4.0,,2.0,,5.0,7,,,1.0,,2.0,80,2023-05-03
Brisbane Lions,2023,105,Adelaide,11,L,33,15.0,4.0,10,25,,2.0,,5.0,,5.0,5.0,3.0,1.0,2.0,2.0,10.0,14,,,1.0,,3.0,82,2023-05-10
Brisbane Lions,2023,106,Hawthorn,13,L,33,14.0,1.0,5,19,,1.0,,2.0,1.0,5.0,5.0,5.0,2.0,,,9.0,9,,,,,,80,2023-05-24
Brisbane Lions,2023,107,Sydney,14,W,33,17.0,3.0,9,26,2.0,3.0,,6.0,1.0,7.0,3.0,5.0,1.0,2.0,1.0,9.0,17,,1.0,,,1.0,77,2023-05-31
Brisbane Lions,2023,108,St Kilda,15,W,33,8.0,4.0,8,16,1.0,,,5.0,,5.0,5.0,2.0,,1.0,,7.0,8,,1.0,1.0,,1.0,78,2023-06-07
Brisbane Lions,2023,109,Richmond,16,W,33,9.0,6.0,3,12,2.0,1.0,,2.0,,3.0,2.0,2.0,,1.0,,3.0,10,1.0,2.0,,,,83,2023-06-14
Brisbane Lions,2023,110,West Coast,17,W,33,11.0,4.0,10,21,1.0,,,1.0,,5.0,2.0,4.0,,,,9.0,12,,,,,1.0,82,2023-06-21
Brisbane Lions,2023,111,Melbourne,18,L,33,12.0,3.0,7,19,2.0,1.0,,2.0,,6.0,1.0,3.0,,,,8.0,11,,1.0,,,1.0,80,2023-06-28
Brisbane Lions,2023,112,Fremantle,21,W,33,10.0,4.0,12,22,,1.0,,2.0,2.0,4.0,2.0,4.0,,2.0,,7.0,15,,,,,,77,2023-07-19
Brisbane Lions,2023,113,Adelaide,22,W,33,13.0,4.0,5,18,2.0,,,1.0,2.0,6.0,4.0,3.0,,1.0,,6.0,11,,,1.0,,,72,2023-07-26
Brisbane Lions,2023,114,Collingwood,23,W,33,8.0,2.0,10,18,2.0,1.0,,3.0,2.0,3.0,2.0,1.0,,,,7.0,10,,1.0,1.0,,1.0,81,2023-08-02
Brisbane Lions,2023,115,St Kilda,24,W,33,8.0,3.0,5,13,,1.0,,1.0,,3.0,2.0,2.0,1.0,1.0,,4.0,7,1.0,1.0,2.0,,,80,2023-08-09
Brisbane Lions,2023,116,Port Adelaide,QF,W,33,8.0,2.0,2,10,1.0,1.0,,5.0,,5.0,3.0,1.0,,1.0,,4.0,6,,,2.0,,2.0,77,2023-03-01
Brisbane Lions,2023,117,Carlton,PF,W,33,10.0,2.0,9,19,,,,2.0,2.0,3.0,6.0,5.0,,1.0,,9.0,11,,,2.0,,,77,2023-03-01
Brisbane Lions,2023,118,Collingwood,GF,L,33,11.0,1.0,2,13,2.0,1.0,,4.0,1.0,6.0,4.0,3.0,2.0,1.0,,6.0,7,,,,,,81,2023-03-01
Brisbane Lions,2024,119,Carlton,1,L,33,12.0,4.0,3,15,1.0,,,5.0,1.0,6.0,4.0,2.0,1.0,,,8.0,8,1.0,1.0,2.0,,,77,2024-03-01
Brisbane Lions,2024,120,Fremantle,2,L,33,6.0,4.0,7,13,2.0,,,5.0,1.0,2.0,,3.0,1.0,2.0,,6.0,8,1.0,1.0,1.0,,1.0,86,2024-03-08
Brisbane Lions,2024,121,Collingwood,4,L,33,13.0,4.0,7,20,1.0,,,1.0,1.0,3.0,2.0,6.0,,4.0,,6.0,15,,,1.0,,1.0,75,2024-03-22
Brisbane Lions,2024,122,North Melbourne,5,W,33,10.0,5.0,10,20,,1.0,,3.0,1.0,7.0,2.0,1.0,,,,7.0,13,1.0,,1.0,,1.0,71,2024-03-29
Brisbane Lions,2024,123,Melbourne,6,W,33,15.0,10.0,8,23,1.0,,,1.0,1.0,6.0,1.0,6.0,1.0,,,3.0,20,,,,,1.0,75,2024-04-05
Brisbane Lions,2024,124,Hawthorn,12,L,33,9.0,4.0,3,12,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,,,,3.0,9,,,1.0,,1.0,65,2024-05-17
Brisbane Lions,2024,125,Western Bulldogs,14,W,33,6.0,2.0,11,17,2.0,,,4.0,,2.0,2.0,3.0,,2.0,,5.0,12,,,1.0,,,72,2024-05-31
Brisbane Lions,2024,126,St Kilda,15,W,33,7.0,5.0,5,12,,,,2.0,1.0,1.0,1.0,2.0,,2.0,,5.0,9,,,,1.0,,75,2024-06-07
Brisbane Lions,2024,127,Port Adelaide,16,W,33,15.0,4.0,11,26,1.0,1.0,,2.0,1.0,6.0,3.0,2.0,1.0,1.0,,11.0,14,1.0,1.0,,,1.0,70,2024-06-14
Brisbane Lions,2024,128,Melbourne,17,W,33,7.0,1.0,3,10,,1.0,,3.0,,1.0,1.0,4.0,,1.0,,3.0,5,,1.0,,,,66,2024-06-21
Brisbane Lions,2024,129,Adelaide,18,W,33,9.0,1.0,8,17,,,,3.0,,3.0,,5.0,1.0,1.0,,3.0,10,,,,,2.0,74,2024-06-28
Brisbane Lions,2024,130,West Coast,19,W,33,8.0,4.0,8,16,1.0,2.0,,4.0,,3.0,2.0,4.0,1.0,1.0,,7.0,10,,2.0,1.0,,,80,2024-07-05
Brisbane Lions,2024,131,Sydney,20,W,33,11.0,4.0,3,14,1.0,1.0,,3.0,1.0,5.0,2.0,1.0,2.0,,,6.0,9,,1.0,,,,81,2024-07-12
Brisbane Lions,2024,132,Gold Coast,21,W,33,9.0,7.0,4,13,1.0,,,3.0,2.0,2.0,1.0,1.0,,,,6.0,9,,,3.0,,,76,2024-07-19
Brisbane Lions,2024,133,St Kilda,22,W,33,10.0,4.0,10,20,3.0,,,,1.0,2.0,,,,,,5.0,15,,1.0,1.0,,1.0,79,2024-07-26
Brisbane Lions,2024,134,Greater Western Sydney,23,L,33,10.0,6.0,3,13,,,,3.0,3.0,2.0,1.0,1.0,1.0,,,3.0,10,,1.0,,,,77,2024-08-02
Brisbane Lions,2024,135,Collingwood,24,L,33,9.0,3.0,6,15,1.0,1.0,,,,3.0,1.0,2.0,1.0,1.0,,4.0,11,,,,,,79,2024-08-09
Brisbane Lions,2024,136,Essendon,25,W,33,8.0,2.0,9,17,1.0,1.0,,2.0,1.0,3.0,4.0,1.0,,,,5.0,10,,,1.0,,1.0,85,2024-08-16
Brisbane Lions,2024,137,Carlton,EF,W,33,14.0,5.0,4,18,1.0,1.0,,4.0,1.0,4.0,2.0,5.0,2.0,1.0,,6.0,13,2.0,1.0,1.0,,,72,2024-03-01
Brisbane Lions,2024,138,Greater Western Sydney,SF,W,33,5.0,5.0,6,11,1.0,,,,1.0,2.0,,1.0,,,,2.0,9,,,1.0,,,74,2024-03-01
Brisbane Lions,2024,139,Geelong,PF,W,33,13.0,3.0,6,19,2.0,2.0,,2.0,2.0,5.0,2.0,1.0,1.0,1.0,,3.0,17,,,3.0,,,79,2024-03-01
Brisbane Lions,2024,140,Sydney,GF,W,33,12.0,7.0,5,17,,,,1.0,3.0,3.0,,1.0,,,,3.0,13,,,,1.0,2.0,80,2024-03-01
Brisbane Lions,2025,141,Sydney,2,W,33,9.0,1.0,8,17,4.0,1.0,,,1.0,2.0,1.0,2.0,,1.0,,8.0,9,,,,,,84,2025-03-08
Brisbane Lions,2025,142,West Coast,3,W,33,10.0,7.0,4,14,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,3.0,11,,1.0,1.0,,,85,2025-03-15
Brisbane Lions,2025,143,Geelong,4,W,33,11.0,3.0,8,19,1.0,2.0,,6.0,2.0,3.0,2.0,4.0,1.0,1.0,,11.0,9,,2.0,,3.0,1.0,82,2025-03-22
Brisbane Lions,2025,144,Richmond,5,W,33,10.0,2.0,3,13,3.0,,,3.0,,6.0,,3.0,1.0,,,,12,,2.0,,,1.0,84,2025-03-29
Brisbane Lions,2025,145,Western Bulldogs,6,W,33,16.0,5.0,4,20,3.0,2.0,,2.0,1.0,4.0,3.0,1.0,1.0,,,6.0,14,,3.0,,2.0,1.0,84,2025-04-05
