team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2019,1,West Coast,9,L,33,6.0,3.0,4.0,10.0,,1.0,,1.0,2.0,2.0,1.0,4.0,,3.0,,5.0,8.0,,1.0,1.0,1.0,,73.0,2019-04-26
Melbourne,2019,2,Greater Western Sydney,10,L,33,12.0,5.0,4.0,16.0,2.0,1.0,,,,4.0,1.0,1.0,,,,4.0,11.0,1.0,,,2.0,2.0,77.0,2019-05-03
Melbourne,2019,3,Adelaide,11,L,33,12.0,7.0,9.0,21.0,,,,3.0,1.0,4.0,,2.0,,,,6.0,15.0,1.0,,2.0,,,69.0,2019-05-10
Melbourne,2019,4,Collingwood,12,L,33,12.0,5.0,6.0,18.0,,,,3.0,1.0,5.0,1.0,5.0,1.0,,,3.0,14.0,,,1.0,,,78.0,2019-05-17
Melbourne,2019,5,Fremantle,14,W,33,12.0,6.0,3.0,15.0,,,,3.0,1.0,4.0,3.0,2.0,,1.0,,5.0,11.0,,1.0,1.0,,,74.0,2019-05-31
Melbourne,2019,6,Brisbane Lions,15,L,33,6.0,6.0,9.0,15.0,,1.0,,3.0,1.0,4.0,1.0,5.0,,5.0,,3.0,12.0,,1.0,1.0,,1.0,74.0,2019-06-07
Melbourne,2019,7,St Kilda,19,L,33,5.0,1.0,3.0,8.0,,1.0,,1.0,,1.0,3.0,2.0,1.0,,,5.0,4.0,,,2.0,,,65.0,2019-07-05
Melbourne,2019,8,Richmond,20,L,33,8.0,4.0,5.0,13.0,,,,,,1.0,1.0,1.0,,,,2.0,11.0,,,1.0,,,67.0,2019-07-12
Melbourne,2019,9,Collingwood,21,L,33,6.0,3.0,2.0,8.0,,,,1.0,3.0,2.0,1.0,1.0,,1.0,,1.0,7.0,,1.0,,,,58.0,2019-07-19
Melbourne,2020,10,Fremantle,16,L,33,7.0,1.0,5.0,12.0,,,,,2.0,2.0,1.0,2.0,,1.0,,2.0,9.0,,,1.0,,,68.0,2020-06-14
